,shape,color,texture
228,15,44,34
227,15,45,40
226,15,6,45
225,15,13,36
253,16,38,11
252,16,10,33
251,16,44,43
250,16,13,45
249,16,4,12
248,16,3,11
247,16,30,46
254,16,32,32
245,16,17,46
244,16,15,33
243,16,29,24
242,16,30,29
241,16,6,7
240,16,33,14
246,16,19,27
269,17,49,37
268,17,5,42
267,17,24,22
266,17,18,18
265,17,0,1
264,17,3,23
263,17,25,37
262,17,47,32
260,17,24,6
259,17,35,22
258,17,8,11
257,17,38,27
256,17,46,29
255,17,14,37
261,17,41,12
284,18,16,1
283,18,28,14
282,18,40,19
281,18,10,37
280,18,29,41
279,18,35,16
278,18,23,9
277,18,42,43
275,18,43,10
270,18,34,49
271,18,0,13
276,18,20,1
273,18,28,41
274,18,39,5
272,18,17,49
298,19,33,2
297,19,0,30
296,19,47,31
295,19,35,2
294,19,32,15
293,19,15,0
292,19,48,40
299,19,4,39
290,19,8,19
289,19,0,1
288,19,49,0
287,19,44,26
286,19,19,40
285,19,11,3
291,19,3,32
314,20,15,35
313,20,28,49
312,20,13,7
311,20,14,5
310,20,19,45
309,20,26,27
308,20,3,14
307,20,10,16
305,20,18,48
304,20,4,27
303,20,38,38
302,20,4,5
300,20,37,42
306,20,22,37
301,20,0,13
329,21,47,26
323,21,2,9
328,21,39,18
327,21,36,33
326,21,39,3
325,21,49,1
324,21,23,29
322,21,12,19
320,21,25,17
319,21,20,40
318,21,23,25
317,21,34,47
316,21,29,38
315,21,4,45
321,21,10,46
343,22,12,6
342,22,24,0
341,22,3,6
340,22,28,1
339,22,15,32
338,22,42,42
337,22,20,5
344,22,46,39
335,22,24,37
334,22,5,33
333,22,22,18
332,22,5,48
331,22,40,6
330,22,6,24
336,22,35,0
359,23,46,8
358,23,5,0
357,23,19,46
356,23,2,13
355,23,47,46
354,23,31,11
353,23,10,49
352,23,45,33
350,23,46,25
349,23,36,37
348,23,25,34
347,23,31,13
346,23,22,5
345,23,48,32
351,23,46,10
368,24,12,35
373,24,6,45
372,24,43,11
371,24,1,1
370,24,18,10
369,24,23,15
367,24,1,21
374,24,38,43
365,24,18,29
364,24,40,7
363,24,1,46
362,24,10,39
361,24,7,34
360,24,21,29
366,24,33,26
388,25,30,10
387,25,38,3
386,25,44,3
385,25,23,43
384,25,48,11
383,25,27,34
382,25,5,15
389,25,4,33
380,25,36,30
379,25,3,30
378,25,33,11
377,25,48,9
376,25,43,24
375,25,8,31
381,25,21,4
404,26,41,33
403,26,37,44
402,26,4,24
401,26,38,46
400,26,47,31
399,26,25,8
398,26,49,44
397,26,40,22
395,26,14,10
394,26,47,42
393,26,11,5
392,26,17,37
391,26,42,23
390,26,37,41
396,26,13,25
414,27,17,22
419,27,30,14
418,27,18,16
417,27,17,4
416,27,32,41
415,27,32,11
413,27,1,16
412,27,6,39
411,27,6,49
410,27,34,36
409,27,36,16
408,27,23,49
407,27,47,24
406,27,32,25
405,27,6,41
433,28,33,43
432,28,8,44
431,28,37,14
430,28,17,24
429,28,9,32
428,28,7,28
427,28,42,39
434,28,15,6
425,28,10,2
424,28,5,37
423,28,24,35
422,28,11,16
421,28,48,15
420,28,16,3
426,28,43,27
449,29,28,16
448,29,11,15
447,29,29,30
446,29,6,45
445,29,5,47
444,29,14,20
443,29,0,8
442,29,41,10
440,29,21,46
439,29,42,17
438,29,41,42
437,29,37,39
436,29,6,27
435,29,18,48
441,29,31,33
458,30,34,7
463,30,20,43
462,30,17,16
461,30,25,13
460,30,17,46
459,30,28,9
457,30,30,19
464,30,36,12
455,30,3,38
454,30,0,15
453,30,2,38
452,30,1,18
451,30,33,33
450,30,46,10
456,30,37,23
478,31,35,6
477,31,40,30
476,31,2,34
475,31,21,23
474,31,41,28
473,31,31,32
472,31,30,2
479,31,45,48
470,31,20,35
469,31,19,28
468,31,16,10
467,31,28,38
466,31,22,23
465,31,39,25
471,31,6,14
494,32,42,36
493,32,18,39
492,32,6,10
491,32,17,2
490,32,32,44
489,32,24,38
488,32,45,43
487,32,23,25
485,32,46,48
484,32,7,42
483,32,28,2
482,32,26,24
481,32,25,47
480,32,9,14
486,32,7,44
503,33,42,21
508,33,9,38
507,33,15,43
506,33,45,11
505,33,14,18
504,33,11,41
502,33,32,44
509,33,14,31
500,33,16,6
495,33,30,27
496,33,37,22
501,33,3,48
498,33,24,16
499,33,40,18
497,33,23,42
524,34,8,8
523,34,4,47
522,34,1,37
521,34,25,0
520,34,33,19
518,34,16,7
519,34,13,45
515,34,18,11
514,34,5,13
513,34,39,12
512,34,17,30
511,34,17,23
510,34,16,32
516,34,41,15
517,34,1,23
533,35,37,47
539,35,43,6
538,35,16,41
537,35,5,49
536,35,6,17
535,35,36,21
534,35,44,26
532,35,14,5
530,35,7,29
529,35,31,2
528,35,38,31
527,35,37,14
526,35,9,20
525,35,17,23
531,35,21,42
554,36,31,35
553,36,11,48
552,36,30,35
551,36,34,36
550,36,11,35
549,36,29,30
548,36,33,2
547,36,49,16
545,36,35,35
544,36,19,12
543,36,33,42
542,36,46,38
541,36,0,25
540,36,45,12
546,36,8,0
564,37,20,27
568,37,45,35
567,37,21,0
566,37,12,9
569,37,27,17
565,37,21,0
563,37,2,19
558,37,10,38
561,37,34,21
560,37,12,20
559,37,9,36
557,37,12,39
556,37,29,27
555,37,15,20
562,37,13,17
583,38,41,11
582,38,19,34
581,38,13,21
580,38,24,13
579,38,28,40
578,38,39,48
577,38,34,21
584,38,31,14
575,38,34,13
574,38,15,34
573,38,49,33
572,38,9,20
571,38,16,22
570,38,19,7
576,38,24,40
599,39,1,21
598,39,45,19
597,39,15,22
596,39,18,33
595,39,44,30
594,39,17,39
593,39,0,40
592,39,36,7
590,39,38,14
589,39,39,32
588,39,21,30
587,39,5,31
586,39,43,7
585,39,47,39
591,39,19,2
609,40,0,19
614,40,48,20
613,40,32,1
612,40,11,8
611,40,44,49
610,40,34,4
608,40,9,43
607,40,38,6
606,40,2,49
605,40,22,10
604,40,9,18
603,40,48,31
602,40,29,23
601,40,26,15
600,40,21,22
628,41,49,24
627,41,27,1
626,41,5,49
625,41,21,34
624,41,36,19
623,41,37,4
622,41,45,40
629,41,1,39
620,41,40,24
619,41,31,44
618,41,20,26
617,41,22,46
616,41,28,23
615,41,12,30
621,41,43,17
644,42,45,25
643,42,12,47
642,42,44,34
641,42,13,42
640,42,46,36
639,42,38,18
638,42,23,22
637,42,42,40
635,42,28,37
634,42,20,17
633,42,26,14
632,42,11,29
631,42,22,18
630,42,24,12
636,42,36,29
653,43,45,46
658,43,34,36
657,43,13,10
659,43,32,49
655,43,39,19
654,43,7,21
652,43,35,24
656,43,9,9
650,43,9,3
649,43,3,46
648,43,21,35
647,43,15,28
646,43,1,45
645,43,2,18
651,43,20,30
673,44,10,44
672,44,19,33
671,44,18,2
670,44,20,35
669,44,33,17
668,44,47,36
667,44,45,14
674,44,35,25
665,44,11,26
664,44,40,9
663,44,49,7
662,44,1,47
661,44,41,40
660,44,27,37
666,44,10,15
689,45,45,30
688,45,43,9
687,45,9,13
686,45,27,1
685,45,2,37
684,45,15,48
683,45,27,35
682,45,19,11
680,45,7,24
679,45,36,41
678,45,48,28
677,45,42,9
676,45,0,29
675,45,40,3
681,45,47,28
698,46,35,19
703,46,49,21
702,46,14,44
704,46,33,5
700,46,28,11
699,46,37,38
697,46,48,20
701,46,46,31
695,46,20,49
694,46,16,26
693,46,12,8
692,46,3,28
691,46,16,36
690,46,42,43
696,46,26,7
719,47,32,7
718,47,8,13
717,47,7,48
716,47,13,0
715,47,29,0
714,47,32,38
713,47,33,14
712,47,46,26
711,47,28,20
710,47,48,5
709,47,37,8
708,47,21,8
707,47,36,19
706,47,49,27
705,47,19,15
733,48,8,18
732,48,39,16
731,48,44,0
734,48,22,26
730,48,27,31
729,48,44,25
728,48,47,34
723,48,3,18
726,48,21,26
725,48,40,49
724,48,43,39
722,48,47,15
721,48,33,49
720,48,8,16
727,48,32,41
747,49,13,22
746,49,2,4
745,49,31,27
744,49,23,28
743,49,47,47
742,49,44,22
738,49,9,40
740,49,22,7
739,49,16,12
737,49,35,8
736,49,41,38
735,49,27,4
748,49,29,27
741,49,12,1
749,49,27,23
